nickname,characterName,position,attribute1,attribute2,attribute3,hand,hand(rarityName),head,head(rarityName),chest,chest(rarityName),waist,waist(rarityName),leg,leg(rarityName),foot,foot(rarityName),accessories1,accessories1(rarityName),accessories2,accessories2(rarityName),recovery,recovery(rarityName),accelerator,accelerator(rarityName),attack,attack(rarityName),defense,defense(rarityName),special,special(rarityName),neck,neck(rarityName),accessories3,accessories3(rarityName),accessories4,accessories4(rarityName),random,level,killCount,deathCount,assistCount,attackPoint,damagePoint,battlePoint,sightPoint,getCoin,spendConsumablesCoin,sentinelKillCount,demolisherKillCount,playTime,minLifeTime,maxLifeTime,responseTime,team,matchId,map
번개아저씨,휴톤,탱커,전투 태세,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,41,5,8,5,26622,64656,212,306,15100,6100,15,6,1346,23,326,295,0,6a772def07104993711082b7495a29939c6a4798033969f659f423d4bcfeaf06,그랑플람 아시아 지부
진집사,엘프리데,원거리딜러,완벽주의자,사냥꾼의 본능,전장의 열기,E 결정적 순간,유니크,S 감춰진 시선,유니크,S 오버 필링,유니크,E 레스트레인트,유니크,S 완벽한 자유,유니크,S 온화한 발걸음,유니크,팰리스 메모,레어,저스티스 페인트북,레어,체스터 더블버거,레어,페이트 스프린터 ,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,타나토스 맥시머,레어,E 잔혹한 처벌,유니크,데블스 페인트북,레어,정해진 운명,유니크,False,67,6,3,9,53877,15239,114,140,21200,2600,29,33,1346,153,680,130,0,6a772def07104993711082b7495a29939c6a4798033969f659f423d4bcfeaf06,그랑플람 아시아 지부
미안해내가좀잘해,하랑,원거리딜러,충동 구매,할인 판매,준비된 한 발,E 호기만장,유니크,E 마파람,유니크,E 칠전팔기,유니크,E 가온누리,유니크,E 높새구름,유니크,E 천우신조,유니크,벽조목-자령,레어,제압 명주고리,레어,체스터 더블버거,레어,런업 스프린터,레어,이펙트 이펙션,레어,영력 타즈 ,레어,괴력난신 맥시머,레어,E 사나운 패기,유니크,술령 명주고리,레어,호아호신부,유니크,False,66,3,6,7,37852,27323,130,141,20380,2940,24,37,1346,72,363,222,0,6a772def07104993711082b7495a29939c6a4798033969f659f423d4bcfeaf06,그랑플람 아시아 지부
dpswhdl,루이스,근거리딜러,급소 가격,사냥꾼의 본능,거인 사냥꾼,E 아이스 에이지,유니크,S 윈터 크루제이드,유니크,S 프로즌 시티,유니크,E 아이스 토퀴즈 ,유니크,E 절대영도,유니크,S 크리스탈 크랙 ,유니크,빙산 프로프링,레어,리볼버 유노,레어,체스터 버거,언커먼,아이스 스프린터 ,레어,아이스 파이크 ,레어,아이스 타즈 ,레어,영구동토 맥시머,레어,E 프로즌 하트,유니크,드라이 파이몬,레어,프로즌 브레이크,유니크,False,60,7,5,2,27995,18582,53,83,20860,4700,23,32,1346,38,500,194,0,6a772def07104993711082b7495a29939c6a4798033969f659f423d4bcfeaf06,그랑플람 아시아 지부
번개아저씨,휴톤,탱커,전투 태세,재생의 숨결,최후의 저항,E 블래스터 비트 ,유니크,S 해일매리 패스,유니크,S 터스킨 ,유니크,S 데모닉 펀쳐,유니크,E 스톤 크래셔,유니크,S 아이언 룰러,유니크,지옥구멍 레그람,레어,바야바 아몬,레어,본 스파클링 ,레어,런업 스프린터,레어,아이리쉬 이펙트 ,레어,아이리쉬 타즈 ,레어,드래곤 플라이R,커먼,S 브레이킹 스매쉬,유니크,서든어퍼 레그람,레어,누크 퓨리피스트,유니크,False,47,3,7,12,28564,58210,278,413,15440,4800,16,5,1347,34,247,249,0,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
일곱개의별,자네트,근거리딜러,최후의 일격,전세역전,거인 사냥꾼,E 골든 글로리아,유니크,E 가디언 스피릿,유니크,E 키스 오브 로즈,유니크,E 아도니스 스팅,유니크,E 셀프 레버런스,유니크,E 슈루드 무브먼트,유니크,플로라 프론,레어,자발레타 프론,레어,로즈 스파클링,레어,리세스 스프린터,레어,로즈 이펙트,레어,솔리드 스위퍼,레어,자발레타 임팩트,언커먼,E 로프티 플라워리,유니크,프레스토 프론,레어,윈드 오브 로즈,유니크,False,52,8,10,12,35268,49340,148,256,18300,4700,15,21,1347,28,198,315,0,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
점보아몬드,호타루,탱커,최후의 저항,재생의 숨결,불굴의 의지,FA카마이타치,레어,흑룡의 눈,레어,E 아카 토리노,유니크,E 팔문괘장,유니크,E 바케모노 가타리,유니크,E 은월기담,유니크,쐐기 케레스,레어,타키 레이어드,레어,폭연 스파클링,레어,폭연 스프린터,레어,폭연 파이크,레어,솔리드 스위퍼,레어,비연폭 임팩트,언커먼,E 시노비모지,유니크,SB비연폭 데브,레어,환영분신 레그람,레어,False,48,4,4,18,35733,50575,387,488,17920,5800,20,13,1347,50,858,184,0,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
두루미,클레어,원거리딜러,준비된 한 발,충동 구매,완전한 성장,E 천사의 한숨,유니크,E 아이비리그,유니크,E 리스키 스펙트럼 ,유니크,E 써쿨러 아미스트 ,유니크,E 승리의 기원,유니크,S 환호의 출발 ,유니크,블링걸-블링크,레어,분광의 살로스,레어,키스 스파클링 ,레어,빛의 스프린터 ,레어,빛의 이펙트 ,레어,솔리드 스위퍼,레어,클렌징빔 임팩트,언커먼,S 슈팅 스타,유니크,클렌징빔 살로스,레어,레이저 피에스타,유니크,False,66,17,5,6,74773,37883,232,223,25320,6700,42,43,1347,54,424,242,0,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
점보땅콩,루시,원거리딜러,준비된 한 발,전장의 학살자,완전한 성장,E 섬섬옥수,유니크,E 오발선빈,유니크,E 지체투향,유니크,E 세류요,유니크,S 작장중무,유니크,E 연보소말,유니크,SB낙화 루인,레어,반월 청옥석,레어,체스터 더블버거,레어,리세스 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,반월 임팩트,언커먼,S 적월선,유니크,화무 청옥석,레어,절세가인,유니크,False,55,12,8,16,78464,37515,190,261,19660,5300,14,8,1347,37,531,243,0,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
뚜뚜카,웨슬리,원거리딜러,완벽주의자,회피 사격,전장의 열기,E 마인 익스프레스,유니크,E 퀘이크 프론,유니크,E 전장의 매,유니크,E 오퍼레이션 델타,유니크,E 데파르망 ,유니크,E 전쟁의 시작,유니크,류탄 US타이머,레어,구급 US타이머,레어,체스터 더블버거,레어,런업 스프린터,레어,이펙트 이펙션,레어,솔리드 스위퍼,레어,지원폭격 맥시머,레어,E 장군의 명예,유니크,지뢰 UMA프로,레어,최후의 폭격명령,유니크,False,57,8,7,16,66056,36853,286,326,20740,5400,25,21,1347,67,274,266,1,45b361015d618d6378d19948eb1062d0b8cdb6bd24be42b31f33ba13e7b6e86f,메트로폴리스
